일자,송금,,현찰,,매매기준율,기준환율,대미환산율
,보내실때,받으실때,사실때,파실때,(전일대비),,
2022.10.31,"1,435.50","1,408.10","1,446.68","1,396.92","1,421.80","1,419.30",1.0000
,,,,,하락-3.70,,
2022.10.28,"1,439.30","1,411.70","1,450.44","1,400.56","1,425.50","1,418.10",1.0000
2022.10.27,"1,439.30","1,411.70","1,450.44","1,400.56","1,425.50","1,428.20",1.0000
,,,,,상승5.50,,
2022.10.26,"1,433.70","1,406.30","1,444.85","1,395.15","1,420.00","1,436.50",1.0000
,,,,,하락-19.00,,
2022.10.25,"1,452.90","1,425.10","1,464.18","1,413.82","1,439.00","1,436.60",1.0000
,,,,,하락-4.00,,
2022.10.24,"1,456.90","1,429.10","1,468.25","1,417.75","1,443.00","1,436.60",1.0000
,,,,,상승3.00,,
2022.10.21,"1,453.90","1,426.10","1,465.20","1,414.80","1,440.00","1,431.70",1.0000
,,,,,상승11.50,,
2022.10.20,"1,442.30","1,414.70","1,453.49","1,403.51","1,428.50","1,420.60",1.0000
,,,,,하락-7.50,,
2022.10.19,"1,449.90","1,422.10","1,461.13","1,410.87","1,436.00","1,425.60",1.0000
,,,,,상승9.50,,
2022.10.18,"1,440.30","1,412.70","1,451.46","1,401.54","1,426.50","1,436.60",1.0000
,,,,,하락-12.00,,
2022.10.17,"1,452.40","1,424.60","1,463.67","1,413.33","1,438.50","1,428.90",1.0000
,,,,,하락-1.50,,
2022.10.14,"1,453.90","1,426.10","1,465.20","1,414.80","1,440.00","1,427.00",1.0000
,,,,,하락-5.00,,
2022.10.13,"1,459.00","1,431.00","1,470.28","1,419.72","1,445.00","1,430.40",1.0000
,,,,,상승13.00,,
2022.10.12,"1,445.80","1,418.20","1,457.06","1,406.94","1,432.00","1,433.50",1.0000
,,,,,하락-2.00,,
2022.10.11,"1,447.90","1,420.10","1,459.09","1,408.91","1,434.00","1,410.30",1.0000
,,,,,상승5.00,,
2022.10.07,"1,442.80","1,415.20","1,454.00","1,404.00","1,429.00","1,404.20",1.0000
,,,,,상승20.00,,
2022.10.06,"1,422.60","1,395.40","1,433.65","1,384.35","1,409.00","1,419.10",1.0000
,,,,,하락-14.00,,
2022.10.05,"1,436.80","1,409.20","1,447.90","1,398.10","1,423.00","1,431.20",1.0000
,,,,,하락-7.00,,
2022.10.04,"1,443.80","1,416.20","1,455.02","1,404.98","1,430.00","1,432.10",1.0000
